timestamp,open,high,low,close,volume
1719792000000,1.07348,1.07383,1.0733,1.07378,232
1719792300000,1.0738,1.0738,1.0734,1.0736,169
1719792600000,1.0735,1.07366,1.0734,1.07354,231
1719792900000,1.07355,1.07419,1.0734,1.07408,551
1719793200000,1.07413,1.07462,1.0739,1.07454,548
1719793500000,1.07453,1.0747,1.0742,1.07427,413
1719793800000,1.07424,1.0745,1.0741,1.0743,409
1719794100000,1.07446,1.075,1.0743,1.07487,439
1719794400000,1.07486,1.075,1.0746,1.07493,487
1719794700000,1.07491,1.075,1.0744,1.07458,524
1719795000000,1.07458,1.0747,1.0744,1.07443,490
1719795300000,1.07446,1.0746,1.0741,1.07456,553
1719795600000,1.07455,1.0746,1.0741,1.0743,630
1719795900000,1.0744,1.07481,1.0742,1.07477,507
1719796200000,1.0747,1.075,1.0746,1.0749,511
1719796500000,1.07489,1.075,1.0746,1.0748,479
1719796800000,1.07489,1.0755,1.0747,1.0754,406
1719797100000,1.07541,1.07574,1.0752,1.07569,564
1719797400000,1.07569,1.07596,1.0755,1.0757,602
1719797700000,1.07595,1.07616,1.07526,1.07529,581
1719798000000,1.07531,1.0754,1.07489,1.0749,454
1719798300000,1.07489,1.0751,1.0745,1.07468,408
1719798600000,1.07469,1.075,1.0745,1.07475,494
1719798900000,1.07476,1.0749,1.0746,1.07481,367
1719799200000,1.07482,1.07491,1.0746,1.07476,564
1719799500000,1.07475,1.07489,1.0745,1.07486,401
1719799800000,1.07486,1.0749,1.0746,1.07481,377
1719800100000,1.0748,1.0749,1.0746,1.0748,355
1719800400000,1.07481,1.07513,1.0746,1.07501,283
1719800700000,1.075,1.0751,1.0747,1.07502,327
1719801000000,1.07501,1.0752,1.0749,1.07502,326
1719801300000,1.07502,1.07505,1.0746,1.07482,288
1719801600000,1.07481,1.0749,1.0746,1.07481,259
1719801900000,1.0747,1.07502,1.0746,1.0749,238
1719802200000,1.07502,1.0753,1.0748,1.07529,282
1719802500000,1.07528,1.0756,1.0751,1.07549,312
1719802800000,1.07549,1.0755,1.0751,1.07533,271
1719803100000,1.07533,1.0754,1.0751,1.07533,397
1719803400000,1.07534,1.0756,1.0751,1.0755,352
1719803700000,1.0755,1.0757,1.0753,1.07556,286
1719804000000,1.07557,1.0756,1.0753,1.07547,218
1719804300000,1.0753,1.0755,1.0752,1.0754,234
1719804600000,1.07543,1.0755,1.0751,1.07533,222
1719804900000,1.07532,1.0754,1.0751,1.0751,202
1719805200000,1.07529,1.07531,1.075,1.07521,221
1719805500000,1.0752,1.0753,1.075,1.07521,270
