Time,Open,High,Low,Close,Volume
2010-03-01 11:15,1.35959,1.35995,1.35858,1.3594,816800001.1
2010-03-01 11:30,1.35948,1.35996,1.35237,1.35408,836299985.9
2010-03-01 11:45,1.35384,1.35612,1.35282,1.35421,766299995.4
2010-03-01 12:00,1.35409,1.35526,1.35193,1.35215,732899992
2010-03-01 12:15,1.35209,1.35378,1.35081,1.35283,754900001.5
2010-03-01 12:30,1.35292,1.35397,1.35186,1.35277,844599987
2010-03-01 12:45,1.35271,1.35324,1.35046,1.35056,1035499996
2010-03-01 13:00,1.3506,1.35271,1.35035,1.35245,977799991.6
2010-03-01 13:15,1.35246,1.35324,1.35196,1.35307,800200010.3
2010-03-01 13:30,1.35305,1.35387,1.35124,1.35174,826699996.9
2010-03-01 13:45,1.35217,1.35335,1.35141,1.35302,1081799988
2010-03-01 14:00,1.35292,1.35475,1.35256,1.35337,1031199989
2010-03-01 14:15,1.35336,1.35394,1.35245,1.35324,1009500004
2010-03-01 14:30,1.35332,1.35442,1.35189,1.35245,855899999.6
2010-03-01 14:45,1.35245,1.35315,1.35047,1.35051,1104099998
2010-03-01 15:00,1.35063,1.35347,1.35043,1.35268,1005900005
2010-03-01 15:15,1.35262,1.35308,1.34641,1.34699,1119800007
2010-03-01 15:30,1.34695,1.34867,1.34589,1.34797,1048800007
