Time,Open,High,Low,Close,Volume
2010-02-12 09:15,1.36285,1.3632,1.36111,1.36154,1347399998
2010-02-12 09:30,1.36155,1.36187,1.36053,1.36159,1111699997
2010-02-12 09:45,1.36175,1.36197,1.3564,1.35665,1500100021
2010-02-12 10:00,1.35666,1.35831,1.3553,1.35724,1263700012
2010-02-12 10:15,1.35706,1.35722,1.35485,1.35515,1715199989
2010-02-12 10:30,1.35513,1.35664,1.35356,1.35606,1027200001
2010-02-12 10:45,1.35598,1.35659,1.3543,1.35591,1029399998
2010-02-12 11:00,1.35586,1.35636,1.35386,1.35445,962699993.1
2010-02-12 11:15,1.35446,1.35467,1.35276,1.35317,787900007.2
2010-02-12 11:30,1.35319,1.3553,1.35279,1.35508,960099998.5
2010-02-12 11:45,1.35509,1.35596,1.35429,1.35468,839799997.3
