Time,Open,High,Low,Close,Volume
2010-02-18 21:15,1.3614,1.36204,1.36082,1.36154,601000003.8
2010-02-18 21:30,1.36136,1.36136,1.35132,1.35348,592899999.6
2010-02-18 21:45,1.35332,1.35488,1.35147,1.35243,730299997.3
2010-02-18 22:00,1.35232,1.35335,1.35098,1.35137,460100009.9
2010-02-18 22:15,1.35116,1.35305,1.35097,1.35248,466899993.9
2010-02-18 22:30,1.35267,1.35277,1.34859,1.35025,501299993.5
2010-02-18 22:45,1.35017,1.35039,1.34828,1.34933,568299999.2
2010-02-18 23:00,1.34906,1.34974,1.34639,1.34679,665599998.5
2010-02-18 23:15,1.3468,1.34957,1.34655,1.34877,462699996.9
2010-02-18 23:30,1.34834,1.34969,1.34728,1.34755,492999996.2
2010-02-18 23:45,1.34774,1.34826,1.34431,1.34587,592599994.7
2010-02-19 00:00,1.34618,1.3472,1.34531,1.34694,403100000.4
2010-02-19 00:15,1.34679,1.34875,1.34634,1.34831,325399999.6
2010-02-19 00:30,1.34799,1.34887,1.34763,1.34781,445099994.7
2010-02-19 00:45,1.3479,1.34907,1.34755,1.34903,330700000.8
2010-02-19 01:00,1.34883,1.34922,1.34756,1.34784,378199995
2010-02-19 01:15,1.34771,1.34949,1.34715,1.34921,416499999
2010-02-19 01:30,1.34927,1.34927,1.34658,1.3471,422000001.9
2010-02-19 01:45,1.34702,1.34777,1.34626,1.34705,427100001.3
2010-02-19 02:00,1.34703,1.34754,1.34574,1.34752,1062500000
2010-02-19 02:15,1.34781,1.35077,1.34744,1.34942,821399993.9
2010-02-19 02:30,1.34958,1.34984,1.34794,1.34814,647500001.9
2010-02-19 02:45,1.34802,1.34846,1.34683,1.34824,859099994.7
2010-02-19 03:00,1.34829,1.34868,1.34764,1.34816,864200000.8
2010-02-19 03:15,1.3483,1.34952,1.34804,1.34896,674500005.7
2010-02-19 03:30,1.34891,1.34954,1.34851,1.34935,1016799999
2010-02-19 03:45,1.34931,1.3494,1.34773,1.3478,1106199993
2010-02-19 04:00,1.34804,1.34885,1.34774,1.34818,906399997.7
2010-02-19 04:15,1.34847,1.34877,1.34782,1.34816,763000001.9
2010-02-19 04:30,1.348,1.34868,1.34777,1.34845,834100004.2
2010-02-19 04:45,1.34839,1.34876,1.34778,1.34811,593099998.5
2010-02-19 05:00,1.34797,1.34849,1.34753,1.34777,755799991.6
2010-02-19 05:15,1.34779,1.34804,1.34694,1.34765,679399993.9
2010-02-19 05:30,1.34757,1.34776,1.34632,1.34743,774199995
2010-02-19 05:45,1.34744,1.34824,1.34706,1.34744,801299999.2
2010-02-19 06:00,1.3472,1.34754,1.34624,1.34653,947199993.1
2010-02-19 06:15,1.34664,1.34684,1.34525,1.34599,919199993.1
