Time,Open,High,Low,Close,Volume
2010-01-04 08:00,1.43038,1.43255,1.43004,1.43205,1057100014
2010-01-04 08:15,1.43205,1.43219,1.42972,1.43015,1098000000
2010-01-04 08:30,1.43015,1.43263,1.42985,1.4318,1090400002
2010-01-04 08:45,1.43193,1.43391,1.43138,1.43337,1098399998
2010-01-04 09:00,1.43348,1.43513,1.43292,1.43416,972500003.8
2010-01-04 09:15,1.43412,1.43555,1.43353,1.43511,962100000.4
2010-01-04 09:30,1.43509,1.43888,1.43469,1.43744,1070599995
2010-01-04 09:45,1.43757,1.43939,1.43686,1.43921,1020100002
2010-01-04 10:00,1.43932,1.43948,1.438,1.43901,1005599995
2010-01-04 10:15,1.43905,1.43998,1.43794,1.43815,1004200001
2010-01-04 10:30,1.43811,1.43867,1.43699,1.43808,757200004.6
2010-01-04 10:45,1.43817,1.4383,1.43702,1.4376,956600002.3
2010-01-04 11:00,1.43744,1.4402,1.43719,1.43962,1088600010
2010-01-04 11:15,1.43953,1.4417,1.43905,1.44025,795700000.8
2010-01-04 11:30,1.44021,1.44041,1.43899,1.43964,761900003.4
2010-01-04 11:45,1.43977,1.44026,1.43885,1.43885,712899997.7
2010-01-04 12:00,1.43887,1.44029,1.43843,1.43984,811200006.5
2010-01-04 12:15,1.44007,1.44049,1.43917,1.44008,812899999.6
2010-01-04 12:30,1.44004,1.4402,1.43882,1.43964,781100002.3
2010-01-04 12:45,1.43968,1.44015,1.43885,1.43954,919899997.7
2010-01-04 13:00,1.43957,1.43983,1.43843,1.43867,1218099995
2010-01-04 13:15,1.43873,1.44025,1.43867,1.43951,1032899990
2010-01-04 13:30,1.43941,1.44229,1.43895,1.44216,1762099976
2010-01-04 13:45,1.44209,1.44327,1.44111,1.44205,1126499996
