timestamp,open,high,low,close
1757462400000,1.17019,1.1703,1.1698,1.17007
1757462700000,1.17008,1.17011,1.16956,1.16968
1757463000000,1.16969,1.17001,1.1696,1.16994
1757463300000,1.16987,1.16987,1.1695,1.16977
1757463600000,1.16978,1.17,1.1697,1.16976
1757463900000,1.16977,1.17,1.1696,1.16995
1757464200000,1.16993,1.17014,1.16978,1.16981
1757464500000,1.16982,1.1699,1.1696,1.16986
1757464800000,1.16984,1.17,1.1697,1.16982
1757465100000,1.1698,1.1699,1.1696,1.16978
1757465400000,1.16978,1.17,1.16967,1.16976
1757465700000,1.16977,1.1699,1.1696,1.16967
1757466000000,1.16967,1.17,1.1691,1.16924
1757466300000,1.16923,1.1696,1.1691,1.16956
1757466600000,1.16957,1.1697,1.1693,1.16953
1757466900000,1.16952,1.16973,1.1693,1.16957
1757467200000,1.1696,1.16962,1.1691,1.16925
1757467500000,1.16921,1.1694,1.1689,1.16903
1757467800000,1.16895,1.16931,1.1689,1.16925
1757468100000,1.16928,1.1699,1.1692,1.16973
1757468400000,1.16974,1.17,1.1696,1.16974
1757468700000,1.1697,1.16981,1.1696,1.1698
1757469000000,1.16977,1.17019,1.16977,1.17015
1757469300000,1.17012,1.17027,1.16964,1.16991
1757469600000,1.16997,1.17048,1.1698,1.17032
1757469900000,1.1703,1.17065,1.1702,1.1706
1757470200000,1.17058,1.17076,1.1703,1.17058
1757470500000,1.17056,1.1708,1.1704,1.17073
1757470800000,1.1707,1.17078,1.1705,1.17065
1757471100000,1.17066,1.1708,1.1705,1.17056
1757471400000,1.17057,1.17062,1.1703,1.17056
1757471700000,1.1706,1.17064,1.1703,1.17048
1757472000000,1.17049,1.17074,1.1704,1.1706
1757472300000,1.1706,1.17071,1.1703,1.17062
1757472600000,1.1706,1.17078,1.1704,1.17071
1757472900000,1.1707,1.1708,1.1705,1.17072
1757473200000,1.17073,1.17087,1.1705,1.17076
1757473500000,1.17077,1.1709,1.1706,1.17075
1757473800000,1.17075,1.17082,1.1706,1.17076
1757474100000,1.17077,1.1709,1.1706,1.1708
1757474400000,1.17085,1.1709,1.1706,1.17082
1757474700000,1.17082,1.1709,1.1706,1.17079
1757475000000,1.17077,1.1709,1.1706,1.17071
1757475300000,1.17072,1.17081,1.1705,1.17073
1757475600000,1.17074,1.1709,1.1706,1.17085
1757475900000,1.17086,1.1711,1.1707,1.17095
1757476200000,1.17091,1.171,1.1706,1.17097
1757476500000,1.17092,1.17096,1.1706,1.17077
1757476800000,1.17085,1.17093,1.1707,1.17089
1757477100000,1.17085,1.1711,1.1706,1.17072
1757477400000,1.17073,1.17108,1.17072,1.17098
1757477700000,1.17103,1.17111,1.1708,1.17101
1757478000000,1.17101,1.17111,1.1708,1.17102
1757478300000,1.17099,1.1713,1.1708,1.17105
1757478600000,1.17107,1.17117,1.1709,1.17109
1757478900000,1.17111,1.1712,1.1709,1.17106
