timestamp,open,high,low,close
1071468000000,1.22035,1.22075,1.21945,1.2198
1071468300000,1.21985,1.22045,1.2198,1.22045
1071468600000,1.22055,1.221,1.22055,1.22055
1071468900000,1.2206,1.22135,1.22045,1.22115
1071469200000,1.22115,1.22145,1.2209,1.22105
1071469500000,1.22095,1.22095,1.22035,1.2204
1071469800000,1.22035,1.2205,1.2202,1.2205
1071470100000,1.22045,1.2205,1.2194,1.21945
1071470400000,1.21945,1.2203,1.2194,1.22015
1071470700000,1.22025,1.22115,1.2201,1.2208
1071471000000,1.2207,1.22115,1.2207,1.22115
1071471300000,1.2211,1.22245,1.2209,1.222
1071471600000,1.22195,1.2222,1.2218,1.2218
1071471900000,1.22175,1.22185,1.22165,1.2218
1071472200000,1.22175,1.2233,1.22175,1.22305
1071472500000,1.22295,1.22335,1.22225,1.22225
1071472800000,1.2222,1.2223,1.2215,1.222
1071473100000,1.2221,1.22305,1.22205,1.22295
1071473400000,1.22265,1.22345,1.22225,1.2227
1071473700000,1.22265,1.2236,1.2226,1.2235
1071474000000,1.22365,1.22545,1.2235,1.2253
1071474300000,1.2253,1.22545,1.22465,1.2247
1071474600000,1.22465,1.22495,1.22445,1.2249
1071474900000,1.22495,1.22525,1.22495,1.2251
1071475200000,1.2251,1.22635,1.22495,1.2261
1071475500000,1.2262,1.22665,1.22615,1.2262
1071475800000,1.22615,1.22705,1.22615,1.2266
1071476100000,1.22655,1.22655,1.22595,1.2263
1071476400000,1.22635,1.2276,1.2263,1.2271
1071476700000,1.22715,1.228,1.22695,1.22785
1071477000000,1.2278,1.22925,1.22775,1.22815
1071477300000,1.22825,1.22855,1.22755,1.22845
1071477600000,1.22855,1.22885,1.22795,1.228
1071477900000,1.22805,1.2283,1.2278,1.2282
1071478200000,1.22825,1.2291,1.2281,1.2287
1071478500000,1.2287,1.2291,1.2285,1.2286
1071478800000,1.22875,1.22925,1.22855,1.2286
1071479100000,1.22855,1.2291,1.22855,1.22885
1071479400000,1.2289,1.2299,1.2288,1.22945
1071479700000,1.22935,1.2301,1.22915,1.22965
1071480000000,1.2296,1.22965,1.2288,1.22885
1071480300000,1.22875,1.2288,1.228,1.228
1071480600000,1.22805,1.2289,1.22795,1.2286
1071480900000,1.2287,1.2288,1.22825,1.2287
1071481200000,1.22875,1.22925,1.2287,1.2289
1071481500000,1.2289,1.2295,1.22885,1.22905
1071481800000,1.229,1.22925,1.22815,1.22815
1071482100000,1.2281,1.2291,1.22805,1.229
1071482400000,1.2291,1.2294,1.22865,1.229
1071482700000,1.22885,1.2293,1.22855,1.2286
1071483000000,1.2286,1.2291,1.2286,1.22885
1071483300000,1.2288,1.2292,1.2285,1.2292
1071483600000,1.2293,1.23,1.22925,1.2295
1071483900000,1.22955,1.22965,1.22865,1.22875
1071484200000,1.2288,1.22905,1.22855,1.22855
1071484500000,1.2286,1.2289,1.22845,1.2287
1071484800000,1.2287,1.229,1.22855,1.22895
1071485100000,1.229,1.22925,1.22875,1.2291
1071485400000,1.2291,1.2291,1.22835,1.22835
1071485700000,1.2283,1.2294,1.22805,1.2289
1071486000000,1.2289,1.22935,1.2289,1.2293
1071486300000,1.22925,1.22955,1.22915,1.22935
1071486600000,1.2293,1.22965,1.22875,1.22905
1071486900000,1.22915,1.22965,1.22905,1.22935
1071487200000,1.22925,1.22925,1.22895,1.22915
1071487500000,1.22905,1.2293,1.229,1.2293
1071487800000,1.22945,1.23005,1.2294,1.23
1071488100000,1.23005,1.23235,1.23005,1.23145
