timestamp,open,high,low,close
1057828800000,1.13415,1.13425,1.13345,1.13395
1057829100000,1.13405,1.13405,1.1337,1.13375
1057829400000,1.1337,1.1341,1.13355,1.13375
1057829700000,1.13375,1.1339,1.1334,1.13345
1057830000000,1.1334,1.13345,1.1332,1.13335
1057830300000,1.1334,1.1341,1.13335,1.1338
1057830600000,1.1337,1.1339,1.1335,1.13385
1057830900000,1.13385,1.1344,1.1337,1.13435
1057831200000,1.1344,1.13465,1.1341,1.13465
1057831500000,1.13455,1.1347,1.1343,1.13435
1057831800000,1.13425,1.1346,1.13415,1.13455
1057832100000,1.1347,1.1349,1.1342,1.13425
1057832400000,1.13425,1.13515,1.13415,1.13505
1057832700000,1.13515,1.136,1.1351,1.1358
1057833000000,1.1363,1.13765,1.1362,1.13705
1057833300000,1.13705,1.13745,1.13675,1.1374
1057833600000,1.13735,1.1378,1.1371,1.1372
1057833900000,1.1372,1.13805,1.137,1.1376
1057834200000,1.13755,1.1388,1.1374,1.13835
1057834500000,1.1384,1.1392,1.13785,1.1391
1057834800000,1.13915,1.1393,1.1382,1.13835
1057835100000,1.1384,1.1384,1.13765,1.13785
1057835400000,1.13785,1.1383,1.1378,1.13825
1057835700000,1.13825,1.1383,1.13795,1.138
1057836000000,1.13795,1.13805,1.1374,1.13745
1057836300000,1.1375,1.13755,1.1372,1.13745
1057836600000,1.1375,1.1383,1.13745,1.13825
1057836900000,1.1383,1.1387,1.13815,1.13865
1057837200000,1.13865,1.1387,1.1384,1.1385
1057837500000,1.1386,1.13865,1.13825,1.13845
1057837800000,1.1383,1.1386,1.13825,1.1383
1057838100000,1.13835,1.1386,1.1383,1.13855
1057838400000,1.1385,1.13865,1.13835,1.13855
1057838700000,1.1385,1.1385,1.13835,1.13835
1057839000000,1.13825,1.13825,1.13795,1.13805
1057839300000,1.13815,1.13825,1.138,1.13805
1057839600000,1.1382,1.13825,1.1378,1.1378
1057839900000,1.1378,1.1378,1.13755,1.13765
1057840200000,1.13755,1.13815,1.13755,1.13785
1057840500000,1.1378,1.1379,1.13775,1.13775
1057840800000,1.138,1.13805,1.138,1.13805
1057841100000,1.1382,1.1384,1.1382,1.1384
1057841400000,1.1384,1.13845,1.13825,1.13845
1057841700000,1.13835,1.13835,1.13815,1.1383
1057842000000,1.13825,1.1384,1.1382,1.13835
