timestamp,open,high,low,close
1076046600000,1.25245,1.2527,1.2524,1.2524
1076046900000,1.2522,1.25225,1.25195,1.2521
1076047200000,1.25225,1.25235,1.2517,1.2517
1076047500000,1.2518,1.25225,1.25175,1.2522
1076047800000,1.2523,1.2523,1.25175,1.25175
1076048100000,1.2516,1.25175,1.25145,1.2515
1076048400000,1.25145,1.2523,1.2513,1.2521
1076048700000,1.2522,1.25245,1.2522,1.25245
1076049000000,1.25255,1.25305,1.25255,1.253
1076049300000,1.2532,1.25385,1.253,1.25375
1076049600000,1.25365,1.25415,1.25355,1.254
1076049900000,1.25395,1.25395,1.25335,1.25335
1076050200000,1.25325,1.2538,1.2532,1.2538
1076050500000,1.25385,1.25395,1.25375,1.2538
1076050800000,1.2538,1.2538,1.25325,1.25325
1076051100000,1.2532,1.2533,1.25275,1.25295
1076051400000,1.25285,1.2533,1.25285,1.25325
1076051700000,1.253,1.2537,1.2528,1.25355
1076052000000,1.25345,1.25385,1.25335,1.2536
1076052300000,1.25345,1.2561,1.25305,1.25545
1076052600000,1.2554,1.2634,1.2552,1.2599
1076052900000,1.2596,1.261,1.25865,1.26
1076053200000,1.26,1.26225,1.2593,1.2618
1076053500000,1.26195,1.26675,1.2612,1.2667
1076053800000,1.26675,1.26825,1.26575,1.2665
1076054100000,1.2665,1.2671,1.2656,1.2665
1076054400000,1.26655,1.26785,1.2661,1.26655
1076054700000,1.26645,1.26705,1.26595,1.26635
1076055000000,1.2662,1.2665,1.2652,1.26535
1076055300000,1.26545,1.2658,1.2653,1.2656
1076055600000,1.26565,1.2661,1.26535,1.26565
1076055900000,1.26575,1.2675,1.26565,1.26725
1076056200000,1.2673,1.2683,1.2673,1.2679
1076056500000,1.2679,1.2696,1.26785,1.2684
1076056800000,1.2684,1.2695,1.26825,1.26925
1076057100000,1.2692,1.26975,1.26895,1.2691
1076057400000,1.269,1.2695,1.26855,1.2695
1076057700000,1.26955,1.27145,1.2693,1.2713
1076058000000,1.27125,1.2715,1.2705,1.27055
1076058300000,1.27045,1.2709,1.27015,1.2708
1076058600000,1.27095,1.27095,1.2698,1.2698
1076058900000,1.2698,1.27,1.26915,1.26915
1076059200000,1.26925,1.26925,1.26855,1.26885
1076059500000,1.26895,1.271,1.26895,1.2709
1076059800000,1.2709,1.2723,1.27045,1.27215
1076060100000,1.272,1.272,1.27085,1.2709
1076060400000,1.2708,1.2711,1.2704,1.2711
1076060700000,1.27105,1.27145,1.2703,1.2714
1076061000000,1.27165,1.2723,1.27135,1.27155
1076061300000,1.27145,1.2715,1.27075,1.271
1076061600000,1.2711,1.27145,1.271,1.271
1076061900000,1.27095,1.2724,1.2709,1.2714
1076062200000,1.2713,1.27225,1.27115,1.2712
1076062500000,1.27125,1.27155,1.27045,1.27045
1076062800000,1.2704,1.2704,1.26955,1.2697
1076063100000,1.26955,1.26995,1.2695,1.26975
1076063400000,1.2697,1.2697,1.26855,1.26895
1076063700000,1.269,1.26925,1.26855,1.269
1076064000000,1.26905,1.27105,1.269,1.2708
1076064300000,1.2709,1.2711,1.27055,1.27065
