Timestamp;Open;High;Low;Close
1735779600;2624.48;2625.16;2624.41;2625.06
1735779900;2625.19;2625.29;2624.07;2625.02
1735780200;2625.03;2625.03;2624.01;2624.68
1735780500;2624.69;2624.92;2624.27;2624.37
1735780800;2624.41;2624.41;2623.51;2623.79
1735781100;2623.79;2624.17;2623.61;2623.74
1735781400;2623.71;2623.93;2623.14;2623.2
1735781700;2623.26;2623.79;2622.7;2622.85
1735782000;2622.85;2622.85;2621.56;2621.56
1735782300;2621.84;2623.26;2621.48;2623.1
1735782600;2623.09;2624.03;2623.09;2623.7
1735782900;2623.7;2624.33;2623.5;2623.74
1735783200;2623.78;2624.13;2622.82;2622.97
1735783500;2623.08;2625.61;2622.94;2625.61
1735783800;2625.61;2626.2;2625.23;2625.77
1735784100;2625.77;2625.79;2625.26;2625.7
1735784400;2625.65;2626.49;2625.57;2626.24
1735784700;2626.24;2626.44;2625.78;2626.4
1735785000;2626.38;2626.42;2625.45;2625.76
1735785300;2625.75;2626.45;2625.65;2626.32
1735785600;2626.48;2627.57;2626.13;2626.84
1735785900;2626.87;2627.8;2626.84;2626.94
1735786200;2626.92;2627.43;2626.59;2626.75
1735786500;2626.75;2626.96;2625.3;2625.33
1735786800;2625.35;2627.29;2623.8;2627.29
1735787100;2627.34;2630.51;2627.25;2629.58
1735787400;2629.57;2630.88;2629.38;2629.59
1735787700;2629.4;2631.99;2629.33;2631.45
1735788000;2631.44;2631.69;2629.8;2631.45
1735788300;2631.42;2633.01;2630.46;2632.59
1735788600;2632.55;2634.17;2632.55;2634.03
1735788900;2634.08;2634.35;2632.45;2633.07
1735789200;2633.1;2633.87;2632.26;2633.43
1735789500;2633.12;2633.48;2631.72;2632.2
1735789800;2632.19;2632.84;2631.62;2632.48
1735790100;2632.36;2633.35;2632.1;2632.9
1735790400;2632.92;2634.71;2632.58;2633.66
1735790700;2633.89;2634.52;2633.31;2634.24
1735791000;2634.34;2634.69;2633.43;2634.54
1735791300;2634.59;2634.59;2633.92;2634.19
1735791600;2634.16;2636.37;2633.97;2635.79
1735791900;2635.79;2635.8;2634.63;2635.63
1735792200;2635.7;2635.7;2634.18;2635.23
1735792500;2635.26;2635.76;2634.11;2635.47
1735792800;2635.39;2635.39;2632.63;2633.39
1735793100;2633.4;2633.58;2632.31;2632.9
1735793400;2632.9;2634.3;2632.61;2633.98
1735793700;2633.98;2635.32;2633.8;2634.72
1735794000;2634.7;2635.32;2633.89;2634.14
1735794300;2634.1;2634.23;2633.48;2633.74
1735794600;2633.73;2633.79;2633.06;2633.12
1735794900;2633.11;2634.05;2632.99;2633.51
1735795200;2633.52;2634.72;2633.14;2634.15
1735795500;2634.22;2634.31;2633.26;2633.37
1735795800;2633.35;2634.14;2633.12;2633.85
1735796100;2633.85;2633.85;2632.36;2632.38
1735796400;2632.38;2633.43;2632.3;2633.43
1735796700;2633.43;2633.84;2633.09;2633.25
1735797000;2633.22;2633.24;2632.72;2632.76
1735797300;2632.75;2633.71;2632.68;2633.66
1735797600;2633.68;2633.71;2632.42;2633.05
1735797900;2633.05;2633.06;2632.11;2632.79
1735798200;2632.81;2633.29;2632.38;2632.38
1735798500;2632.55;2633.02;2632.39;2632.63
1735798800;2632.65;2633.0;2632.16;2632.52
1735799100;2632.54;2633.21;2632.38;2632.48
1735799400;2632.47;2632.88;2632.15;2632.47
1735799700;2632.44;2632.66;2632.16;2632.24
1735800000;2632.24;2632.56;2632.07;2632.18
1735800300;2632.18;2632.78;2631.1;2632.59
1735800600;2632.59;2633.93;2632.59;2633.85
1735800900;2633.86;2634.2;2633.62;2633.96
1735801200;2633.99;2634.36;2633.26;2633.26
1735801500;2633.14;2633.65;2633.06;2633.42
1735801800;2633.44;2633.98;2633.19;2633.41
1735802100;2633.42;2634.32;2633.39;2634.29
1735802400;2634.3;2634.32;2633.68;2634.29
1735802700;2634.33;2635.31;2634.3;2634.9
1735803000;2634.85;2635.88;2634.57;2635.39
1735803300;2635.4;2636.1;2634.98;2635.63
1735803600;2635.67;2636.5;2634.91;2634.93
1735803900;2634.95;2635.05;2634.07;2635.03
1735804200;2635.0;2635.35;2634.44;2634.45
1735804500;2634.47;2634.57;2634.01;2634.03
1735804800;2634.03;2634.03;2631.89;2632.55
1735805100;2632.58;2632.8;2631.82;2632.46
1735805400;2632.49;2632.91;2631.45;2631.74
1735805700;2631.72;2632.26;2631.15;2632.16
1735806000;2632.17;2633.14;2631.96;2632.94
1735806300;2633.0;2634.45;2632.94;2634.18
1735806600;2634.17;2634.41;2633.71;2633.77
1735806900;2633.77;2633.99;2633.41;2633.94
1735807200;2633.92;2634.7;2633.83;2634.11
1735807500;2634.14;2635.43;2633.77;2633.8
1735807800;2633.81;2634.55;2633.58;2634.0
1735808100;2634.0;2634.66;2633.82;2634.06
1735808400;2634.14;2634.24;2633.47;2634.24
1735808700;2634.22;2635.01;2634.13;2634.32
1735809000;2634.33;2634.89;2634.25;2634.41
1735809300;2634.38;2634.89;2633.61;2634.82
1735809600;2634.79;2635.53;2634.35;2635.52
1735809900;2635.49;2636.0;2634.33;2634.37
1735810200;2634.38;2634.38;2633.05;2633.29
1735810500;2633.28;2634.19;2633.08;2633.62
1735810800;2633.6;2634.06;2633.22;2633.61
1735811100;2633.66;2633.69;2632.96;2633.53
1735811400;2633.49;2634.71;2633.31;2634.62
1735811700;2634.63;2636.0;2634.38;2635.97
1735812000;2636.24;2636.41;2635.15;2635.92
1735812300;2636.0;2637.13;2635.28;2635.31
1735812600;2635.31;2635.55;2633.96;2635.16
1735812900;2635.17;2635.18;2633.68;2634.59
1735813200;2634.55;2634.68;2632.68;2632.75
1735813500;2632.6;2633.36;2631.25;2633.32
1735813800;2633.32;2633.95;2631.22;2633.86
1735814100;2633.83;2634.31;2633.37;2634.02
1735814400;2634.1;2636.98;2633.71;2636.3
1735814700;2636.29;2637.84;2635.79;2635.94
1735815000;2635.98;2636.73;2635.38;2635.76
1735815300;2635.76;2637.13;2635.58;2636.37
1735815600;2636.43;2639.83;2636.36;2638.54
1735815900;2638.28;2639.47;2638.09;2638.3
1735816200;2638.29;2639.15;2637.33;2638.22
1735816500;2638.2;2638.67;2637.82;2638.21
1735816800;2638.22;2638.34;2637.29;2637.45
1735817100;2637.45;2639.97;2637.35;2637.4
1735817400;2637.41;2638.37;2637.17;2637.89
1735817700;2637.84;2637.84;2636.66;2636.86
1735818000;2636.83;2637.63;2636.75;2637.14
1735818300;2637.19;2637.89;2636.55;2637.34
1735818600;2637.37;2637.63;2636.37;2636.8
1735818900;2636.79;2637.38;2636.03;2636.09
1735819200;2636.09;2636.1;2633.54;2633.65
1735819500;2633.64;2635.57;2632.76;2635.57
1735819800;2635.56;2639.0;2635.47;2638.97
1735820100;2638.97;2643.8;2638.16;2643.45
1735820400;2643.41;2646.37;2642.86;2645.43
1735820700;2645.42;2646.13;2644.46;2644.86
1735821000;2644.92;2645.54;2643.2;2643.93
1735821300;2643.9;2645.61;2643.14;2644.49
1735821600;2644.41;2645.28;2643.66;2644.0
1735821900;2643.94;2644.11;2642.33;2643.04
1735822200;2642.97;2643.79;2640.54;2642.77
1735822500;2642.65;2643.02;2641.84;2642.74
1735822800;2642.74;2643.61;2642.45;2643.14
1735823100;2643.14;2644.38;2643.14;2644.13
1735823400;2644.14;2644.69;2643.82;2644.26
1735823700;2644.27;2644.46;2642.95;2643.06
1735824000;2643.11;2643.58;2641.83;2642.19
1735824300;2641.99;2642.2;2640.64;2641.82
1735824600;2641.9;2642.09;2640.33;2640.92
1735824900;2640.9;2641.76;2640.46;2641.76
1735825200;2641.88;2642.81;2640.94;2642.14
1735825500;2642.16;2642.55;2641.19;2642.15
1735825800;2642.17;2642.23;2641.26;2641.92
1735826100;2641.88;2642.28;2641.71;2642.01
1735826400;2641.99;2642.83;2641.05;2641.27
1735826700;2641.25;2641.39;2640.39;2640.76
1735827000;2640.74;2641.36;2640.39;2641.03
1735827300;2640.97;2641.68;2640.61;2641.36
1735827600;2641.5;2642.04;2641.04;2642.01
1735827900;2642.05;2643.2;2641.56;2642.77
1735828200;2642.75;2645.26;2642.18;2643.88
1735828500;2643.92;2645.19;2643.46;2644.4
1735828800;2644.42;2644.48;2643.13;2644.23
1735829100;2644.3;2646.45;2644.21;2645.65
1735829400;2645.57;2645.57;2644.23;2645.22
1735829700;2645.09;2645.09;2642.85;2643.39
1735830000;2643.34;2643.34;2640.76;2641.84
1735830300;2641.8;2643.36;2641.45;2641.87
1735830600;2641.84;2642.49;2638.42;2638.51
1735830900;2638.61;2639.33;2636.6;2637.8
1735831200;2637.7;2639.34;2636.02;2637.53
1735831500;2637.54;2641.11;2636.85;2640.6
1735831800;2640.12;2640.96;2637.03;2640.24
1735832100;2640.33;2641.08;2639.15;2639.15
1735832400;2638.93;2640.08;2638.57;2639.15
1735832700;2639.12;2642.99;2638.19;2642.55
1735833000;2642.56;2645.57;2642.56;2645.35
1735833300;2645.36;2647.38;2642.88;2642.99
1735833600;2643.01;2644.86;2640.37;2641.63
1735833900;2641.61;2642.35;2640.57;2641.49
1735834200;2641.51;2646.92;2641.42;2646.92
1735834500;2646.9;2649.09;2646.2;2646.81
1735834800;2647.02;2647.96;2646.28;2646.48
1735835100;2646.42;2647.6;2646.14;2646.32
1735835400;2646.7;2650.14;2646.35;2648.6
1735835700;2648.66;2649.61;2646.38;2648.12
1735836000;2648.12;2649.63;2647.6;2648.7
1735836300;2648.64;2651.06;2647.96;2648.26
1735836600;2648.33;2649.29;2646.95;2648.95
1735836900;2649.03;2649.35;2646.9;2647.73
1735837200;2647.43;2648.75;2645.2;2647.59
1735837500;2647.78;2649.6;2647.24;2648.6
1735837800;2648.66;2649.02;2646.5;2648.6
1735838100;2648.66;2649.52;2647.83;2648.63
1735838400;2648.62;2649.16;2647.56;2648.96
1735838700;2648.95;2649.58;2647.63;2648.79
1735839000;2648.53;2652.85;2648.44;2652.23
1735839300;2652.21;2653.55;2651.32;2652.66
1735839600;2652.56;2653.46;2651.17;2651.96
1735839900;2651.87;2654.07;2651.45;2654.07
1735840200;2654.14;2655.34;2653.78;2654.99
1735840500;2654.98;2655.78;2653.38;2654.1
1735840800;2653.91;2654.29;2650.07;2651.11
1735841100;2651.16;2652.75;2650.08;2652.75
1735841400;2652.75;2654.39;2652.32;2653.58
1735841700;2653.56;2656.11;2653.37;2656.11
1735842000;2656.07;2657.78;2655.53;2657.61
1735842300;2657.59;2657.96;2656.36;2656.74
1735842600;2656.82;2656.83;2654.9;2656.02
1735842900;2655.97;2657.95;2655.96;2657.78
1735843200;2657.79;2658.45;2656.86;2657.48
1735843500;2657.58;2659.6;2657.41;2659.09
1735843800;2659.16;2659.99;2658.23;2659.99
1735844100;2659.86;2660.45;2659.33;2659.33
1735844400;2659.32;2660.42;2659.05;2660.34
1735844700;2660.35;2660.4;2658.11;2658.28
1735845000;2658.28;2659.52;2658.15;2659.08
1735845300;2659.08;2659.08;2656.51;2658.06
1735845600;2658.05;2659.96;2658.05;2658.52
1735845900;2658.51;2658.51;2656.05;2656.47
1735846200;2656.39;2656.6;2653.3;2653.91
1735846500;2653.83;2654.41;2653.18;2654.39
1735846800;2654.39;2654.55;2653.36;2653.74
1735847100;2653.79;2653.83;2652.84;2653.1
1735847400;2653.11;2655.15;2652.61;2654.98
1735847700;2654.99;2656.65;2654.25;2656.52
1735848000;2656.53;2658.28;2655.88;2657.48
1735848300;2657.57;2658.72;2657.54;2657.75
1735848600;2657.61;2658.04;2656.45;2656.65
1735848900;2656.8;2658.19;2656.07;2657.58
1735849200;2657.64;2658.01;2655.56;2655.83
1735849500;2655.9;2656.99;2654.95;2654.95
1735849800;2655.03;2655.07;2653.78;2654.47
1735850100;2654.49;2656.11;2654.48;2655.23
1735850400;2655.22;2656.02;2654.43;2655.86
1735850700;2655.91;2656.13;2654.82;2655.4
1735851000;2655.4;2655.68;2654.75;2655.06
1735851300;2655.03;2655.86;2655.02;2655.47
1735851600;2655.51;2655.95;2654.63;2655.71
1735851900;2655.71;2655.81;2654.5;2654.6
1735852200;2654.63;2655.13;2654.33;2654.56
1735852500;2654.55;2655.2;2653.85;2654.79
1735852800;2654.78;2655.47;2654.38;2655.12
1735853100;2655.02;2656.15;2654.97;2655.62
1735853400;2655.58;2655.96;2654.85;2655.74
1735853700;2655.74;2657.16;2655.64;2656.12
1735854000;2656.19;2656.22;2654.35;2654.89
1735854300;2654.9;2655.43;2654.36;2654.99
1735854600;2655.01;2655.62;2654.47;2655.52
1735854900;2655.53;2655.55;2654.48;2654.73
1735855200;2654.75;2654.94;2654.13;2654.92
1735855500;2655.05;2655.96;2655.05;2655.75
1735855800;2655.76;2657.22;2655.51;2657.01
1735856100;2657.01;2657.56;2656.37;2657.55
1735856400;2657.8;2659.37;2657.57;2659.35
1735856700;2659.4;2660.46;2658.53;2659.9
1735857000;2659.83;2660.45;2659.7;2659.87
1735857300;2659.87;2659.87;2658.82;2659.17
1735857600;2659.19;2660.04;2658.89;2659.14
1735857900;2659.18;2660.15;2659.18;2659.52
1735858200;2659.69;2660.01;2659.09;2659.73
1735858500;2659.61;2659.92;2659.24;2659.69
1735858800;2659.81;2660.21;2659.59;2660.0
1735859100;2660.02;2660.02;2659.48;2659.85
1735859400;2659.85;2659.85;2658.83;2658.83
1735859700;2659.01;2659.34;2658.4;2658.46
1735860000;2658.46;2658.51;2657.77;2657.89
1735860300;2657.91;2658.66;2657.77;2658.17
1735860600;2658.17;2658.39;2656.46;2657.2
1735860900;2657.17;2657.93;2657.17;2657.93
1735861200;2657.92;2658.15;2657.65;2657.92
1735861500;2657.92;2658.47;2657.04;2657.22
1735861800;2657.22;2657.64;2656.76;2657.35
1735862100;2657.05;2657.99;2657.05;2657.98
1735866000;2658.34;2658.36;2657.43;2657.76
1735866300;2657.76;2658.09;2657.58;2657.92
1735866600;2657.93;2658.09;2657.51;2658.01
1735866900;2657.94;2658.92;2657.91;2658.37
1735867200;2658.37;2658.64;2658.35;2658.45
1735867500;2658.45;2658.73;2658.42;2658.71
1735867800;2658.73;2658.97;2658.45;2658.94
1735868100;2658.95;2659.05;2658.66;2658.8
1735868400;2658.8;2659.53;2658.8;2659.15
1735868700;2659.23;2659.37;2658.26;2658.26
1735869000;2658.27;2658.57;2657.77;2658.52
1735869300;2658.55;2658.69;2657.8;2658.38
1735869600;2658.44;2660.41;2658.4;2660.29
1735869900;2660.28;2661.15;2660.2;2660.77
1735870200;2660.81;2661.0;2660.57;2660.79
1735870500;2660.79;2661.09;2660.68;2660.73
1735870800;2660.7;2660.78;2659.3;2659.68
1735871100;2659.69;2660.75;2659.69;2659.88
1735871400;2659.8;2660.16;2659.55;2659.87
1735871700;2659.87;2660.33;2659.34;2659.4
1735872000;2659.39;2659.49;2658.69;2659.06
1735872300;2659.06;2660.1;2658.81;2660.02
1735872600;2660.02;2661.02;2659.87;2660.72
1735872900;2660.73;2660.94;2660.39;2660.75
1735873200;2660.87;2662.34;2659.8;2660.17
1735873500;2660.15;2660.15;2659.23;2660.05
1735873800;2660.17;2661.21;2660.08;2660.88
1735874100;2660.83;2661.34;2659.49;2660.09
1735874400;2660.09;2660.15;2658.37;2658.92
1735874700;2658.91;2659.06;2658.14;2658.93
1735875000;2658.83;2659.17;2658.06;2658.89
1735875300;2658.99;2659.17;2657.85;2658.13
1735875600;2658.12;2658.39;2656.79;2657.03
1735875900;2657.03;2658.58;2656.94;2658.19
1735876200;2658.33;2659.0;2658.31;2658.79
1735876500;2658.64;2660.14;2658.64;2659.38
1735876800;2659.47;2659.77;2656.24;2656.62
1735877100;2656.63;2660.3;2656.55;2659.0
1735877400;2659.0;2659.98;2658.34;2659.27
1735877700;2659.27;2664.04;2659.27;2661.62
1735878000;2661.01;2662.52;2660.23;2660.24
1735878300;2660.22;2660.59;2658.66;2659.3
1735878600;2659.29;2661.57;2658.93;2660.91
1735878900;2660.88;2661.67;2660.23;2661.53
1735879200;2661.52;2662.0;2660.89;2661.49
1735879500;2661.45;2661.45;2659.91;2660.28
1735879800;2660.3;2662.18;2659.87;2661.89
1735880100;2661.92;2663.12;2661.07;2662.44
1735880400;2662.43;2662.62;2661.37;2661.49
1735880700;2661.49;2664.5;2661.32;2662.88
1735881000;2662.87;2663.84;2662.37;2663.08
1735881300;2663.07;2664.17;2662.95;2664.13
1735881600;2664.14;2665.0;2663.58;2664.69
1735881900;2664.63;2665.15;2663.33;2663.57
1735882200;2663.47;2663.54;2662.81;2663.41
1735882500;2663.41;2663.53;2662.4;2662.71
1735882800;2662.76;2663.05;2661.93;2662.35
1735883100;2662.33;2663.35;2662.1;2663.24
1735883400;2663.23;2663.41;2662.58;2662.62
1735883700;2662.7;2662.71;2662.06;2662.26
1735884000;2662.21;2662.28;2661.81;2662.13
1735884300;2662.13;2662.3;2661.7;2662.22
1735884600;2662.24;2662.87;2661.94;2662.76
1735884900;2662.77;2663.54;2662.63;2663.28
1735885200;2663.24;2664.26;2663.24;2663.9
1735885500;2663.88;2664.32;2663.81;2664.05
1735885800;2664.05;2664.18;2662.91;2662.91
1735886100;2662.91;2663.07;2662.08;2662.45
1735886400;2662.46;2662.62;2662.04;2662.37
1735886700;2662.36;2662.79;2662.25;2662.44
1735887000;2662.44;2662.7;2661.92;2662.48
1735887300;2662.49;2663.1;2662.37;2662.9
1735887600;2662.88;2662.9;2661.98;2661.99
1735887900;2661.98;2662.03;2661.16;2661.29
1735888200;2661.35;2661.63;2661.29;2661.53
