timestamp,open,high,low,close,volume
1735765200000,1.03526,1.0362,1.03508,1.0358,326
1735768800000,1.0358,1.0365,1.03445,1.03548,1392
1735772400000,1.03549,1.0356,1.03458,1.03508,3384
1735783200000,1.0367,1.0372,1.0366,1.0371,752
1735786800000,1.03713,1.03742,1.03679,1.03715,3945
1735790400000,1.03716,1.0376,1.0365,1.03692,3307
1735794000000,1.03691,1.0371,1.036,1.0363,3214
1735797600000,1.03638,1.0365,1.0359,1.03638,5063
1735801200000,1.03636,1.0373,1.0361,1.03629,7037
1735804800000,1.03628,1.0371,1.0346,1.03629,10654
1735808400000,1.03625,1.03705,1.0348,1.03516,8829
1735812000000,1.03518,1.0357,1.03118,1.03167,10467
1735815600000,1.03168,1.03343,1.03149,1.03322,9525
1735819200000,1.03322,1.0335,1.0313,1.03182,9222
1735822800000,1.0318,1.033,1.0309,1.03134,12609
1735826400000,1.03134,1.0324,1.03014,1.03056,12561
1735830000000,1.03038,1.03089,1.02714,1.0274,14734
1735833600000,1.02742,1.02762,1.02211,1.02613,15320
1735837200000,1.02604,1.02681,1.0251,1.02647,10994
1735840800000,1.02653,1.02663,1.0255,1.02565,7728
1735844400000,1.02566,1.02595,1.0247,1.02509,7182
1735848000000,1.02509,1.02643,1.025,1.02615,5303
1735851600000,1.02614,1.02682,1.026,1.02608,2698
1735855200000,1.02608,1.0268,1.02497,1.02652,1165
1735858800000,1.02652,1.02681,1.0263,1.02678,2093
1735862400000,1.02675,1.02735,1.0264,1.02726,3477
1735866000000,1.02729,1.0273,1.0265,1.02675,4627
1735869600000,1.02674,1.02746,1.0265,1.02723,4562
1735873200000,1.02724,1.02745,1.0268,1.02704,3520
1735876800000,1.02707,1.0271,1.0265,1.02693,2989
1735880400000,1.02696,1.0274,1.0263,1.02717,3792
1735884000000,1.02717,1.02795,1.027,1.02793,3633
1735887600000,1.02783,1.0285,1.02685,1.02804,9100
1735891200000,1.02809,1.02881,1.0272,1.02803,9368
1735894800000,1.02804,1.03,1.0279,1.02902,9127
1735898400000,1.02896,1.02937,1.0278,1.02814,7847
1735902000000,1.02813,1.0303,1.028,1.02973,7698
1735905600000,1.02972,1.0301,1.0293,1.02956,7843
1735909200000,1.02958,1.03002,1.029,1.02931,8602
1735912800000,1.0293,1.0302,1.0287,1.03001,9784
1735916400000,1.02984,1.0306,1.0272,1.02891,14358
1735920000000,1.0289,1.02998,1.0283,1.02908,9002
1735923600000,1.02909,1.0306,1.02897,1.02979,8133
