timestamp,open,high,low,close
1446336000000,1.10033,1.10033,1.10033,1.10033
1446336060000,1.10033,1.10033,1.10033,1.10033
1446336120000,1.10033,1.10033,1.10033,1.10033
1446336180000,1.10033,1.10033,1.10033,1.10033
1446336240000,1.10033,1.10033,1.10033,1.10033
1446336300000,1.10033,1.10033,1.10033,1.10033
1446336360000,1.10033,1.10033,1.10033,1.10033
1446336420000,1.10033,1.10033,1.10033,1.10033
1446336480000,1.10033,1.10033,1.10033,1.10033
1446336540000,1.10033,1.10033,1.10033,1.10033
1446336600000,1.10033,1.10033,1.10033,1.10033
1446336660000,1.10033,1.10033,1.10033,1.10033
1446336720000,1.10033,1.10033,1.10033,1.10033
1446336780000,1.10033,1.10033,1.10033,1.10033
1446336840000,1.10033,1.10033,1.10033,1.10033
1446336900000,1.10033,1.10033,1.10033,1.10033
1446336960000,1.10033,1.10033,1.10033,1.10033
1446337020000,1.10033,1.10033,1.10033,1.10033
1446337080000,1.10033,1.10033,1.10033,1.10033
1446337140000,1.10033,1.10033,1.10033,1.10033
1446337200000,1.10033,1.10033,1.10033,1.10033
1446337260000,1.10033,1.10033,1.10033,1.10033
1446337320000,1.10033,1.10033,1.10033,1.10033
1446337380000,1.10033,1.10033,1.10033,1.10033
1446337440000,1.10033,1.10033,1.10033,1.10033
1446337500000,1.10033,1.10033,1.10033,1.10033
1446337560000,1.10033,1.10033,1.10033,1.10033
1446337620000,1.10033,1.10033,1.10033,1.10033
1446337680000,1.10033,1.10033,1.10033,1.10033
1446337740000,1.10033,1.10033,1.10033,1.10033
1446337800000,1.10033,1.10033,1.10033,1.10033
1446337860000,1.10033,1.10033,1.10033,1.10033
1446337920000,1.10033,1.10033,1.10033,1.10033
1446337980000,1.10033,1.10033,1.10033,1.10033
1446338040000,1.10033,1.10033,1.10033,1.10033
1446338100000,1.10033,1.10033,1.10033,1.10033
1446338160000,1.10033,1.10033,1.10033,1.10033
1446338220000,1.10033,1.10033,1.10033,1.10033
1446338280000,1.10033,1.10033,1.10033,1.10033
1446338340000,1.10033,1.10033,1.10033,1.10033
1446338400000,1.10033,1.10033,1.10033,1.10033
1446338460000,1.10033,1.10033,1.10033,1.10033
1446338520000,1.10033,1.10033,1.10033,1.10033
1446338580000,1.10033,1.10033,1.10033,1.10033
1446338640000,1.10033,1.10033,1.10033,1.10033
